"t","A","D","Y","fs","V","F",
0,-32.3798,0.021147,2.2551,3004.8,7.8095,946.961,
0.0003328,-31.0326,0.023891,2.2554,,7.5231,945.2964,
0.0006656,-29.5357,0.026439,2.2554,,7.3596,943.2157,
0.0009984,-36.5712,0.029005,2.2554,,6.9422,940.7187,
0.0013312,-40.7625,0.031543,2.2554,,7.1011,938.083,
0.001664,-35.673,0.033906,2.2548,,7.0008,934.199,
0.0019968,-28.3382,0.036236,2.2557,,6.8279,930.4535,
0.0023296,-15.315,0.038246,2.2554,,6.7083,927.9566,
0.0026624,-16.5126,0.040053,2.2551,,6.537,927.4018,
0.0029952,-34.1761,0.04253,2.2557,,6.4117,928.0954,
0.003328,-48.6961,0.044617,2.256,,6.1197,926.5694,
0.0036608,-53.1869,0.046865,2.2567,,6.2632,923.2402,
0.0039936,-46.4508,0.048947,2.2567,,6.2367,917.8301,
0.0043264,-32.9786,0.050976,2.2557,,6.2649,911.0329,
0.0046592,-34.6252,0.052529,2.2567,,6.0832,904.6519,
0.004992,-33.727,0.054921,2.2564,,5.8686,900.7678,
0.0053248,-30.2841,0.056658,0.15335,,5.7798,897.9934,
0.0056576,-23.8474,0.05921,0.011749,,5.6834,896.7449,
0.0059904,-17.261,0.060813,0.010529,,5.8545,895.0803,
0.0063232,-5.2857,0.062489,0.010834,,5.5904,892.9996,
0.006656,-9.3274,0.064335,0.011139,,5.7216,879.6826,
0.0069888,-27.1406,0.066108,0.011444,,5.3938,857.0715,
0.0073216,-39.1159,0.068116,0.011139,,5.3497,831.8248,
0.0076544,-51.9893,0.069805,0.011139,,5.4098,803.1101,
0.0079872,-68.156,0.071891,0.011139,,5.0714,773.5631,
0.00832,-85.5201,0.07357,0.011139,,5.134,744.016,
0.0086528,-97.3457,0.075056,0.011139,,4.6996,715.7175,
0.0089856,-85.8195,0.076892,0.011444,,4.5411,687.0028,
0.0093184,-68.605,0.077838,0.011749,,4.079,657.5945,
0.0096512,-56.7794,0.079777,0.011444,,3.9948,629.7121,
0.009984,-57.8273,0.080628,0.012055,,3.8666,604.604,
0.010317,-57.3782,0.081896,0.012055,,3.5007,583.1027,
0.01065,-50.0433,0.082751,0.01236,,3.4862,562.4337,
0.010982,-37.9184,0.084206,0.011749,,3.0184,543.8454,
0.011315,-29.8351,0.085351,0.011139,,3.0474,525.3959,
0.011648,-35.8227,0.086212,0.010529,,2.9039,509.1658,
0.011981,-40.4631,0.087119,0.010224,,2.8272,494.0455,
0.012314,-36.7209,0.087813,0.011444,,2.4191,478.2316,
0.012646,-34.0264,0.088742,0.011444,,2.3243,463.1113,
0.012979,-32.5295,0.089627,0.010834,,2.2881,448.6846,
0.013312,-37.3196,0.090278,0.010529,,2.393,434.2579,
0.013645,-43.906,0.090646,0.010834,,2.3353,419.2763,
0.013978,-39.7147,0.091539,0.011444,,2.2192,404.0173,
0.01431,-30.4338,0.092304,0.011139,,2.0385,388.7583,
0.014643,-23.2487,0.093491,0.011749,,2.0759,374.609,
0.014976,-20.2548,0.09403,0.011444,,2.0398,360.7371,
0.015309,-21.0033,0.09465,0.011444,,1.9119,348.8074,
0.015642,-22.3505,0.095054,0.010529,,1.907,336.4614,
0.015974,-15.7641,0.095805,0.011139,,1.5486,325.0865,
0.016307,-12.3212,0.096077,0.011139,,1.5849,314.6826,
0.01664,-35.8227,0.096629,0.010834,,1.4663,305.1111,
0.016973,-149.8873,0.097382,0.011139,,1.3331,294.9846,
0.017306,-235.8099,0.097614,0.011139,,1.0008,279.5869,
0.017638,-62.6174,0.09825,0.011444,,1.0773,249.3463,
0.017971,127.7896,0.098554,0.011444,,0.65153,209.2567,
0.018304,-88.5139,0.098603,0.011444,,0.39475,187.3392,
0.018637,14.3238,0.09847,0.010834,,0.17503,180.4033,
0.01897,-80.1312,0.098946,0.010834,,-0.23841,156.6824,
0.019302,-248.2342,0.098364,0.01236,,-0.59292,145.5849,
0.019635,-263.9518,0.098433,0.012055,,-0.79481,118.8123,
0.019968,-304.9671,0.09808,0.01236,,-0.89323,69.706,
0.020301,-218.296,0.097615,0.01236,,-1.1158,-8.5312,
0.020634,2.7976,0.096975,0.012055,,-1.0806,-120.8931,
0.020966,124.3467,0.096487,0.012665,,-1.2417,-229.5096,
0.021299,134.2263,0.096092,0.01236,,-1.361,-319.6765,
0.021632,112.2217,0.095975,0.01236,,-1.69,-368.9215,
0.021965,-6.7826,0.095487,0.012055,,-1.9832,-378.4931,
