"t","A","D","Y","fs","V","F",
0,72.6307,-0.17293,2.2591,3004.8,-11.3874,-1344.8053,
0.0003328,82.5402,-0.17658,2.2591,,-11.1009,-1341.06,
0.0006656,93.8269,-0.18097,2.2582,,-9.9464,-1334.8176,
0.0009984,122.837,-0.1845,2.2582,,-9.8393,-1327.743,
0.0013312,101.2516,-0.18809,2.2591,,-10.33,-1318.1715,
0.001664,81.3726,-0.19136,2.2591,,-10.2182,-1308.5998,
0.0019968,72.3313,-0.19421,2.2588,,-9.6039,-1301.109,
0.0023296,55.057,-0.1976,2.2597,,-9.3789,-1295.2828,
0.0026624,47.1832,-0.20043,2.2591,,-8.958,-1292.0924,
0.0029952,49.0094,-0.20379,2.2594,,-8.7554,-1290.2891,
0.003328,56.9131,-0.20654,2.2588,,-8.679,-1290.0116,
0.0036608,75.2353,-0.20947,2.2585,,-8.3362,-1287.2372,
0.0039936,73.2594,-0.21194,2.2588,,-8.359,-1281.2723,
0.0043264,62.5415,-0.21467,2.2585,,-7.9399,-1273.7815,
0.0046592,56.5539,-0.21731,2.2594,,-8.0031,-1266.7069,
0.004992,31.6154,-0.21979,2.2594,,-7.8132,-1261.8518,
0.0053248,25.2086,-0.22269,2.2603,,-7.7961,-1259.7709,
0.0056576,22.3345,-0.22493,2.2591,,-7.4545,-1259.7709,
0.0059904,19.1012,-0.22784,2.2591,,-7.5275,-1261.2969,
0.0063232,31.2262,-0.23027,2.1981,,-7.432,-1261.9905,
0.006656,31.765,-0.23269,0.77836,,-7.3062,-1261.9905,
0.0069888,13.0537,-0.23452,-0.34379,,-7.4173,-1259.0774,
0.0073216,-2.5142,-0.23735,0.1857,,-7.174,-1249.3671,
0.0076544,-29.3388,-0.23958,-0.066682,,-7.3073,-1226.756,
0.0079872,-52.0619,-0.24214,0.025177,,-7.1874,-1198.5962,
0.00832,-56.4628,-0.24467,0.036469,,-7.489,-1175.7077,
0.0086528,-37.2724,-0.24694,-0.02884,,-7.4656,-1155.8709,
0.0089856,-2.3944,-0.24972,0.046845,,-7.7841,-1139.5021,
0.0093184,35.0582,-0.25183,-0.019989,,-7.4962,-1122.1623,
0.0096512,59.3381,-0.25446,0.030671,,-7.3203,-1102.8805,
0.009984,64.0085,-0.25723,0.0099184,,-7.4615,-1078.3274,
0.010317,54.2786,-0.2603,0.016327,,-7.4327,-1050.9998,
0.01065,58.7394,-0.2621,0.017853,,-7.4164,-1024.3659,
0.010982,56.0749,-0.26416,0.011749,,-7.2415,-1000.2289,
0.011315,45.4169,-0.26681,0.019074,,-6.8801,-979.1437,
